year,consultant,candidate,statename,cd,FailedToFind,ReasonNotFound,Found in Flagged List,Found in Cleaned List,Found in Full List,Cleaning term responsible for drop,,,,,,
2002,THE MELLMAN GROUP,BOB ETHERIDGE,North Carolina,2,,,,,,,,,,,,
2002,PUBLIC OPINION STRATEGIES,BOB GOODLATTE,Virginia,6,,,,,,,,,,,,
2002,HAMILTON BEATTIE & STAFF,BRAD CARSON,Oklahoma,2,,,,,,,,,,,,
2002,MICHAEL CARRIER ENTERPRISES,BRAD CARSON,Oklahoma,2,,,,,,,,,,,,
2002,MOORE INFORMATION,BUTCH OTTER,Idaho,1,1,5,1,,,,,,,,,
2002,SANDLER INNOCENZI,BUTCH OTTER,Idaho,1,1,5,1,,,,,,,,,
2002,PUBLIC OPINION STRATEGIES,CALDER CLAY,Georgia,3,,,,,,,,,,,,
2002,GLOBAL STRATEGY GROUP,CARLOS NOLLA,Kansas,4,,,,,,,,,,,,
2002,KALIK & ASSOCIATES,CARLOS NOLLA,Kansas,4,,,,,,,,,,,,
2002,"AYRES MCHENRY & ASSOC., INC.",CHARLIE BASS,New Hampshire,2,,,,,,,,,,,,
2002,O'NEIL GRIFFIN BODI,CHARLIE BASS,New Hampshire,2,,,,,,,,,,,,
2002,THE TARRANCE GROUP,CHARLIE BASS,New Hampshire,2,,,,,,,,,,,,
2002,SCOTT HOWELL & COMPANY,CHIP PICKERING,Mississippi,3,,,,,,,,,,,,
2002,THE TARRANCE GROUP,CHIP PICKERING,Mississippi,3,,,,,,,,,,,,
2002,FAIRBANK MASLIN MAULLIN & ASSOC.,CHRIS BELL,Texas,25,1,1,0,0,1,Bank,,,,,,
2002,GEORGE STRONG & ASSOC.,CHRIS BELL,Texas,25,,,,,,,,,,,,
2002,LONE STAR STRATEGIES,CHRIS BELL,Texas,25,,,,,,,,,,,,
2002,MURPHY PUTNAM MEDIA,CHRIS BELL,Texas,25,,,,,,,,,,,,
2002,MOORE INFORMATION,CHRIS CANNON,Utah,3,,,,,,,,,,,,
2002,JAMESTOWN ASSOC.,CHRISTOPHER SHAYS,Connecticut,4,,,,,,,,,,,,
2002,HAMILTON BEATTIE & STAFF,DARRYL ROBERTS,Oklahoma,4,1,3,0,0,1,2002,,,,,,
2002,CONQUEST COMMUNICATIONS GROUP,DAVE ROGERS,Rhode Island,1,1,1,0,0,1,"Phones, Telephones",,,,,,
2002,THE TARRANCE GROUP,DAVE ROGERS,Rhode Island,1,,,,,,,,,,,,
2002,BENNETT PETTS & BLUMENTHAL,DAVE THOMAS,Utah,1,1,2,1,,,,,,,,,
2002,FENN & KING,DAVID OBEY,Wisconsin,7,1,5,1,,,,,,,,,
2002,FRAIOLI & ASSOCIATES,DAVID OBEY,Wisconsin,7,1,5,1,,,,,,,,,
2002,GARIN HART YANG,DAVID OBEY,Wisconsin,7,1,5,1,,,,,,,,,
2002,MCLAUGHLIN & ASSOC.,DENNIS HASTERT,Illinois,14,,,,,,,,,,,,
2002,SMITH & HARROFF,DENNIS HASTERT,Illinois,14,,,,,,,,,,,,
2002,COOPER & SECREST,DENNIS MOORE,Kansas,3,,,,,,,,,,,,
2002,FRAIOLI & ASSOCIATES,DENNIS MOORE,Kansas,3,,,,,,,,,,,,
2002,LAGUENS HAMBURGER STONE,DENNIS MOORE,Kansas,3,,,,,,,,,,,,
2002,MOORE INFORMATION,DENNY REHBERG,Montana,1,,,,,,,,,,,,
2002,RUSSO MARSH COPSEY & SCOTT,DENNY REHBERG,Montana,1,,,,,,,,,,,,
2002,TONY PAYTON AND ASSOCIATES,DENNY REHBERG,Montana,1,,,,,,,,,,,,
2002,FELDMAN GROUP,DIANA DEGETTE,Colorado,1,,,,,,,,,,,,
2002,FRAIOLI & ASSOCIATES,DIANA DEGETTE,Colorado,1,1,1,0,0,1, Fundraising consultant,,,,,,
2002,"RIDDER/BRADEN, INC.",DIANA DEGETTE,Colorado,1,,,,,,,,,,,,
2002,ELDRIDGE COMMUNICATIONS,DUTCH RUPPERSBERGER,Maryland,2,,4,0,0,0,"Expenditures to ""Mellinger Stephanie""",,,,,,
2002,HICKMAN BROWN,DUTCH RUPPERSBERGER,Maryland,2,,,,,,,,,,,,
2002,THE CAMPAIGN GROUP,DUTCH RUPPERSBERGER,Maryland,2,,,,,,,,,,,,
2002,"ALFANO COMMUNICATIONS INC. & REDZONE COMMUNICATIONS, INC.",ERIC CANTOR,Virginia,7,,,,,,,,,,,,
2002,CONQUEST COMMUNICATIONS GROUP,ERIC CANTOR,Virginia,7,1,1,0,0,1,Phone bank,,,,,,
2002,MCLAUGHLIN & ASSOC.,ERIC CANTOR,Virginia,7,,,,,,,,,,,,
2002,"MENTZER MEDIA SERVICES, INC.",ERIC CANTOR,Virginia,7,,,,,,,,,,,,
2002,STEVENS REED CURCIO & CO.,ERNIE FLETCHER,Kentucky,6,,4,0,0,1,Missing because campaign mislabeled this as a campaign transfer,,,,,,
2002,COLE HARGRAVE SNODGRASS,FRANK D LUCAS,Oklahoma,3,,,,,,,,,,,,
2002,"MARC WILSON & ASSOCIATES, LLC.",GEOFF DAVIS,Kentucky,4,0,3,0,0,1,2002 in pacname,,,,,,
2002,THE TARRANCE GROUP,GEOFF DAVIS,Kentucky,4,1,3,0,0,1,2002 in pacname,,,,,,
2002,WILSON GRAND COMMUNCATIONS,GEOFF DAVIS,Kentucky,4,1,3,0,0,1,2002 in pacname,,,,,,
2002,GREENER & HOOK,GEORGE GEKAS,Pennsylvania,17,,,,,,,,,,,,
2002,PUBLIC OPINION STRATEGIES,GEORGE GEKAS,Pennsylvania,17,,,,,,,,,,,,
2002,MCCARTHY MARCUS HENNINGS,GEORGE NETHERCUTT,Washington,5,1,3,0,0,1,2000 in pacname,,,,,,
2002,"MENTZER MEDIA SERVICES, INC.",GEORGE NETHERCUTT,Washington,5,1,3,0,0,1,2000 in pacname,,,,,,
2002,THE TARRANCE GROUP,GEORGE NETHERCUTT,Washington,5,1,3,0,0,1,2000 in pacname,,,,,,
2002,TONY PAYTON AND ASSOCIATES,GEORGE NETHERCUTT,Washington,5,1,3,0,0,1,2000 in pacname,,,,,,
2002,"MURPHY PINTAK GAUTIER HUDOME AGENCY, INC.",HEATHER WILSON,New Mexico,1,,,,,,,,,,,,
2002,PUBLIC OPINION STRATEGIES,HEATHER WILSON,New Mexico,1,,,,,,,,,,,,
2002,THE TOWNSEND GROUP,HEATHER WILSON,New Mexico,1,0,1,0,0,1,Fundraising Expense,,,,,,
2002,AMERICAN VIEWPOINT,HELEN BENTLEY,Maryland,2,,,,,,,,,,,,
2002,COOPER & SECREST,JACK CONWAY,Kentucky,3,,,,,,,,,,,,
2002,MURPHY PUTNAM MEDIA,JACK CONWAY,Kentucky,3,,,,,,,,,,,,
2002,COOPER & SECREST,JAMES MORAN,Virginia,8,,,,,,,,,,,,
2002,STRATEGY GROUP FOR MEDIA,JIM DEMINT,South Carolina,4,,,,,,,,,,,,
2002,THOMPSON CREATIVE CONSULTING,JIM DEMINT,South Carolina,4,,4,0,0,0,,,,,,,
2002,STRUBLE OPPEL EICHENBAUM COMMUNICATIONS,JIM LANGEVIN,Rhode Island,2,,,,,,,,,,,,
2002,THE MELLMAN GROUP,JIM LANGEVIN,Rhode Island,2,,,,,,,,,,,,
2002,COMPASS MEDIA GROUP,JIM MARSHALL,Georgia,3,,,,,,,,,,,,
2002,HAMILTON BEATTIE & STAFF,JIM MARSHALL,Georgia,3,,,,,,,,,,,,
2002,MURPHY PUTNAM MEDIA,JIM MARSHALL,Georgia,3,,,,,,,,,,,,
2002,TRIPPI MCMAHON & SQUIER,JIM MORAN,Virginia,8,,,,,,,,,,,,
2002,BENNETT PETTS & BLUMENTHAL,JOHN ARTHUR SMITH,New Mexico,2,,,,,,,,,,,,
2002,RINDY MILLER,JOHN ARTHUR SMITH,New Mexico,2,,,,,,,,,,,,
2002,THE TARRANCE GROUP,JOHN BOEHNER,Ohio,8,,,,,,,,,,,,
2002,ANDERSON GROUP,JOHN HOSTETTLER,Indiana,8,,,,,,,,,,,,
2002,CHERRY COMMUNICATIONS CO.,JOHN LINDER,Georgia,7,,,,,,,,,,,,
2002,GREENER & HOOK,JOHN LINDER,Georgia,7,,,,,,,,,,,,
2002,PUBLIC OPINION STRATEGIES,JOHN LINDER,Georgia,7,,,,,,,,,,,,
2002,THE MELLMAN GROUP,JOHN NORRIS,Iowa,4,,,,,,,,,,,,
2002,TRIPPI MCMAHON & SQUIER,JOHN NORRIS,Iowa,4,,,,,,,,,,,,
2002,AMERICAN VIEWPOINT,JUDY BIGGERT,Illinois,13,,,,,,,,,,,,
2002,BATES NEIMAND,KATRINA SWETT,New Hampshire,2,,4,0,0,0,,,,,,,
2002,GREENBERG QUINLAN ROSNER RESEARCH,KATRINA SWETT,New Hampshire,2,,,,,,,,,,,,
2002,PUBLIC OPINION STRATEGIES,KEVIN RAYE,Maine,2,,,,,,,,,,,,
2002,WILSON GRAND COMMUNCATIONS,KEVIN RAYE,Maine,2,,,,,,,,,,,,
2002,CHRISTENSEN MCDEVITT INC.,KLINT ALEXANDER,Kentucky,1,1,3,0,0,1,2002 in pacname,,,,,,
2002,BASELICE & ASSOC.,MAC THORNBERRY,Texas,13,,4,0,0,0,,,,,,,
2002,LANDSLIDE GROUP,MARK AUGUSTI,Illinois,5,,4,0,0,0,,,,,,,
2002,PUBLIC OPINION STRATEGIES,MARK AUGUSTI,Illinois,5,,,,,,,,,,,,
2002,LAKE SNELL PERRY,MARTHA FULLER CLARK,New Hampshire,1,,,,,,,,,,,,
2002,MICHAEL P. SHEA & ASSOCIATES,MARTHA FULLER CLARK,New Hampshire,1,,,,,,,,,,,,
2002,JOE SLADE WHITE,MELINA FOX,Indiana,6,,,,,,,,,,,,
2002,SUTTER'S MILL,MELINA FOX,Indiana,6,,,,,,,,,,,,
2002,SMITH & HARROFF,MIKE CASTLE,Delaware,1,,,,,,,,,,,,
2002,BATES NEIMAND,MIKE MICHAUD,Maine,2,1,1,0,0,1,"Brochures, maling",,,,,,
2002,BENNETT PETTS & BLUMENTHAL,MIKE MICHAUD,Maine,2,,,,,,,,,,,,
2002,"CUNNINGHAM HARRIS & ASSOCS., INC.",MIKE MICHAUD,Maine,2,1,1,0,0,1,Fundraising Consulting Fee,,,,,,
2002,STRUBLE OPPEL EICHENBAUM COMMUNICATIONS,MIKE MICHAUD,Maine,2,,,,,,,,,,,,
2002,SUTTER'S MILL,MIKE MICHAUD,Maine,2,1,1,0,0,1, Fundraising Consulting Fee,,,,,,
2002,CHERRY COMMUNICATIONS CO.,MIKE PENCE,Indiana,6,1,1,0,0,1,phone,,,,,,
2002,STRATEGY GROUP FOR MEDIA,MIKE PENCE,Indiana,6,,,,,,,,,,,,
2002,WILSON RESEARCH STRATEGIES,MIKE PENCE,Indiana,6,,,,,,,,,,,,
2002,CHERRY COMMUNICATIONS CO.,MIKE SODREL,Indiana,9,,,,,,,,,,,,
2002,WILSON RESEARCH STRATEGIES,MIKE SODREL,Indiana,9,,,,,,,,,,,,
2002,AXELROD & ASSOC.,PATRICK KENNEDY,Rhode Island,1,1,3,0,0,1,98 in pacname,,,,,,
2002,KILEY & COMPANY,PATRICK KENNEDY,Rhode Island,1,1,3,0,0,1,98 in pacname,,,,,,
2002,BENNETT PETTS & BLUMENTHAL,PETE VISCLOSKY,Indiana,1,,,,,,,,,,,,
2002,AXELROD & ASSOC.,RAHM EMANUEL,Illinois,5,,,,,,,,,,,,
2002,GREENBERG QUINLAN ROSNER RESEARCH,RAHM EMANUEL,Illinois,5,,,,,,,,,,,,
2002,DECISION RESEARCH,RICHARD ROMERO,New Mexico,1,,,,,,,,,,,,
2002,LAGUENS HAMBURGER STONE,RICHARD ROMERO,New Mexico,1,,,,,,,,,,,,
2002,MOORE INFORMATION,ROB BISHOP,Utah,1,,4,0,0,0,,,,,,,
2002,MACWILLIAMS ROBINSON & PARTNERS,RON KIND,Wisconsin,3,,,,,,,,,,,,
2002,GARIN HART YANG,RONNIE SHOWS,Mississippi,3,,,,,,,,,,,,
2002,GMMB,ROSA DELAURO,Connecticut,3,,4,0,0,0,,,,,,,
2002,"LAUER RESEARCH, INC.",ROSA DELAURO,Connecticut,3,,,,,,,,,,,,
2002,"ALFANO COMMUNICATIONS INC. & REDZONE COMMUNICATIONS, INC.",SCOTT GARRETT,New Jersey,5,1,3,0,0,1,2002 in pacname,,,,,,
2002,COLE HARGRAVE SNODGRASS,SCOTT GARRETT,New Jersey,5,1,3,0,0,1,2002 in pacname,,,,,,
2002,"MENTZER MEDIA SERVICES, INC.",SCOTT GARRETT,New Jersey,5,1,3,0,0,1,2002 in pacname,,,,,,
2002,PUBLIC OPINION STRATEGIES,SCOTT GARRETT,New Jersey,5,1,3,0,0,1,2002 in pacname,,,,,,
2002,FELDMAN GROUP,STEPHANIE HERSETH,South Dakota,1,,,,,,,,,,,,
2002,MURPHY PUTNAM MEDIA,STEPHANIE HERSETH,South Dakota,1,,,,,,,,,,,,
2002,THE TOWNSEND GROUP,STEVE PEARCE,New Mexico,2,1,1,0,0,1,"Fundraising, Fundraising Fee",,,,,,
2002,WILSON RESEARCH STRATEGIES,STEVE PEARCE,New Mexico,2,,,,,,,,,,,,
2002,COOPER & SECREST,TIM HOLDEN,Pennsylvania,17,,,,,,,,,,,,
2002,GEDDINGS & PHILLIPS,TIM HOLDEN,Pennsylvania,17,,4,0,0,0,,,,,,,
2002,TRIPPI MCMAHON & SQUIER,TIM HOLDEN,Pennsylvania,17,,,,,,,,,,,,
2002,MCLAUGHLIN & ASSOC.,TODD TIAHRT,Kansas,4,,,,,,,,,,,,
2002,ABAR HUTTON MEDIA,TOM ALLEN,Maine,1,,4,0,0,0,,,,,,,
2002,BENNETT PETTS & BLUMENTHAL,TOM ALLEN,Maine,1,,,,,,,,,,,,
2002,SHRUM DEVINE & DONILON,TOM ALLEN,Maine,1,,,,,,,,,,,,
2002,AH STRATEGIES,TOM COLE,Oklahoma,4,,4,0,0,0,,,,,,,
2002,ALFANO COMMUNICATIONS INC.,TOM COLE,Oklahoma,4,,,,,,,,,,,,
2002,COLE HARGRAVE SNODGRASS,TOM COLE,Oklahoma,4,,,,,,,,,,,,
2002,"MENTZER MEDIA SERVICES, INC.",TOM COLE,Oklahoma,4,,,,,,,,,,,,
2002,RUSSO MARSH COPSEY & SCOTT,TOM LATHAM,Iowa,4,,,,,,,,,,,,
2002,THE TARRANCE GROUP,TOM LATHAM,Iowa,4,,,,,,,,,,,,
2004,PUBLIC OPINION STRATEGIES,ALEXANDRIA CORONADO,California,47,,,,,,,,,,,,
2004,MAIN STREET COMMUNICATIONS,ALLEN BOYD,Florida,2,,,,,,,,,,,,
2004,SUTTER'S MILL,ALLEN BOYD,Florida,2,,,,,,,,,,,,
2004,MCLAUGHLIN & ASSOCIATES,ANDER CRENSHAW,Florida,4,,,,,,,,,,,,
2004,STEVENS REED CURCIO & POTHOLM,ANDER CRENSHAW,Florida,4,,4,0,0,0,,,,,,,
2004,MCCARTHY MARCUS HENNINGS,ANNE NORTHUP,Kentucky,3,,,,,,,,,,,,
2004,MENTZER MEDIA SERVICES,ANNE NORTHUP,Kentucky,3,,,,,,,,,,,,
2004,VOTER CONSUMER RESEARCH,ANNE NORTHUP,Kentucky,3,,,,,,,,,,,,
2004,XVOTES,ANNE WOLFE,New Jersey,5,,4,0,0,0,,,,,,,
2004,SCOTT COTTINGTON,BARBARA CUBIN,Wyoming,1,,,,,,,,,,,,
2004,ALL POINTS COMMUNICATIONS,BARON HILL,Indiana,9,,,,,,,,,,,,
2004,GARIN HART YANG RESEARCH GROUP,BARON HILL,Indiana,9,,,,,,,,,,,,
2004,WINNING DIRECTIONS,BARON HILL,Indiana,9,,,,,,,,,,,,
2004,GMMB,BEN CHANDLER,Kentucky,6,,,,,,,,,,,,
2004,THE MELLMAN GROUP,BEN CHANDLER,Kentucky,6,,,,,,,,,,,,
2004,HARSTAD STRATEGIC RESEARCH,BETTY MCCOLLUM,Minnesota,4,,6,1,,,Mr. Paul Harstad,Boulder,CO,26750,322272,McCollum for Congress,N00012942
2004,JOE SLADE WHITE & CO.,BETTY MCCOLLUM,Minnesota,4,,4,0,0,0,,,,,,,
2004,MARSH COPSEY AND SCOTT,BEV KILMER,Florida,2,,,,,,,,,,,,
2004,SHARI WILLIAMS CONSULTING,BOB BEAUPREZ,Colorado,7,,,,,,,,,,,,
2004,TODD & CASTELLANOS CREATIVE GROUP,BOB BEAUPREZ,Colorado,7,,,,,,,,,,,,
2004,MURPHY PUTNAM MEDIA,BOB ETHERIDGE,North Carolina,2,,,,,,,,,,,,
2004,THE MELLMAN GROUP,BOB ETHERIDGE,North Carolina,2,,,,,,,,,,,,
2004,BATESNEIMAND,BRAD MILLER,North Carolina,13,,,,,,,,,,,,
2004,DOC SWEITZER,BRAD MILLER,North Carolina,13,,,,,,,,,,,,
2004,"FABRIZIO, MCLAUGHLIN & ASSOCIATES",BRIAN HAMEL,Maine,2,,,,,,,,,,,,
2004,TODD & CASTELLANOS CREATIVE GROUP,BRIAN HAMEL,Maine,2,,,,,,,,,,,,
2004,MOORE INFORMATION,BUTCH OTTER,Idaho,1,,,,,,,,,,,,
2004,MEDIASOLUTIONS,CALDER CLAY,Georgia,3,1,1,0,0,1,paper,,,,,,
2004,PUBLIC OPINION STRATEGIES,CALDER CLAY,Georgia,3,,,,,,,,,,,,
2004,MOMENTUM ANALYSIS,CAPRI CAFARO,Ohio,14,,,,,,,,,,,,
2004,STRATEGIC PERCEPTION INC.,CHARLES NORWOOD,Georgia,9,,,,,,,,,,,,
2004,MERCURY PUBLIC AFFAIRS,CHARLIE SUMMERS,Maine,1,,,,,,,,,,,,
2004,STEVENS REED CURCIO & POTHOLM,CHARLIE SUMMERS,Maine,1,,,,,,,,,,,,
2004,THE JUSTIN CO.,CHRIS CHOCOLA,Indiana,2,0,2,0,0,1,,,,,,,
2004,ALFANO-LEONARDO COMMUNICATIONS,CHRIS KOBACH,Kansas,3,,,,,,,,,,,,
2004,PUBLIC OPINION STRATEGIES,DALTON TANONAKA,Hawaii,1,,,,,,,,,,,,
2004,HAMILTON BEATTIE & STAFF,DAN BOREN,Oklahoma,2,,,,,,,,,,,,
2004,MICHAEL CARRIER ENTERPRISES,DAN BOREN,Oklahoma,2,,,,,,,,,,,,
2004,MURPHY PUTNAM MEDIA,DAN BOREN,Oklahoma,2,,,,,,,,,,,,
2004,RINDY MILLER MEDIA,DAN BOREN,Oklahoma,2,,4,0,0,0,,,,,,,
2004,GROVE INSIGHT,DARLENE HOOLEY,Oregon,5,,,,,,,,,,,,
2004,MURPHY PUTNAM MEDIA,DARLENE HOOLEY,Oregon,5,,,,,,,,,,,,
2004,JOE SLADE WHITE & CO.,DAVE THOMAS,Colorado,7,,,,,,,,,,,,
2004,LAUER RESEARCH,DAVE THOMAS,Colorado,7,,,,,,,,,,,,
2004,SUTTER'S MILL,DENNIS CARDOZA,California,18,1,1,0,0,1,"Fundraising Consulting & Expenses, Fundraising Consulting",,,,,,
2004,"LAGUENS, HAMBURGER, STONE",DENNIS MOORE,Kansas,3,,,,,,,,,,,,
2004,MARSH COPSEY AND SCOTT,DENNY REHBERG,Montana,1,,,,,,,,,,,,
2004,MOORE INFORMATION,DENNY REHBERG,Montana,1,,,,,,,,,,,,
2004,PUBLIC OPINION STRATEGIES,DUANE SAND,North Dakota,1,,,,,,,,,,,,
2004,GLOBAL STRATEGY GROUP,DUTCH RUPPERSBERGER,Maryland,2,,,,,,,,,,,,
2004,GILLIARD/BLANNING/WYSOCKI INC.,ED ROYCE,California,40,,,,,,,,,,,,
2004,MAIN STREET COMMUNICATIONS,ELIJAH CUMMINGS,Maryland,7,,,,,,,,,,,,
2004,MCLAUGHLIN & ASSOCIATES,ERIC CANTOR,Virginia,7,,,,,,,,,,,,
2004,BANNON COMMUNICATIONS RESEARCH,FRANK BARBARO,New York,13,,,,,,,,,,,,
2004,JAMESTOWN ASSOCIATES,FRANK LOBIONDO,New Jersey,2,,,,,,,,,,,,
2004,ALLAN B. CROWE & ASSOCIATES INC.,G.K. BUTTERFIELD,North Carolina,1,,,,,,,,,,,,
2004,THE FELDMAN GROUP INC.,G.K. BUTTERFIELD,North Carolina,1,,4,0,0,0,,,,,,,
2004,STROTHER DUFFY STROTHER,GARY KING,New Mexico,2,,,,,,,,,,,,
2004,ELECTION IMPACT GROUP,GEORGE AJJAN,New Jersey,8,,4,0,0,0,,,,,,,
2004,PUBLIC OPINION STRATEGIES,HEATHER WILSON,New Mexico,1,,,,,,,,,,,,
2004,GLOBAL STRATEGY GROUP,HENRY CUELLAR,Texas,28,1,2,0,0,1,,,,,,,
2004,SUTTER'S MILL,HENRY CUELLAR,Texas,28,1,2,0,0,1,,,,,,,
2004,THE CAMPAIGN GROUP,HENRY CUELLAR,Texas,28,1,2,0,0,1,,,,,,,
2004,THE FELDMAN GROUP INC.,JERROLD NADLER,New York,8,,4,0,0,0,,,,,,,
2004,WIRTHLIN WORLDWIDE,JIM GIBBONS,Nevada,2,,,,,,,,,,,,
2004,ALL POINTS COMMUNICATIONS,JIM LANGEVIN,Rhode Island,2,,4,0,0,0,,,,,,,
2004,COMPASS MEDIA GROUP,JIM MARSHALL,Georgia,3,,,,,,,,,,,,
2004,MURPHY PUTNAM MEDIA,JIM MARSHALL,Georgia,3,,,,,,,,,,,,
2004,THE MELLMAN GROUP,JIM MARSHALL,Georgia,3,,4,0,0,0,,,,,,,
2004,BENNETT PETTS & BLUMENTHAL,JIM MATHESON,Utah,2,,,,,,,,,,,,
2004,STRUBLE EICHENBAUM COMMUNICATIONS,JIM MATHESON,Utah,2,,,,,,,,,,,,
2004,WINNING DIRECTIONS,JIM MATHESON,Utah,2,,,,,,,,,,,,
2004,PUBLIC OPINION STRATEGIES,JO ANN DAVIS,Virginia,1,,,,,,,,,,,,
2004,RICHARD QUINN & ASSOCIATION-VISION AMERICA,JOE WILSON,South Carolina,2,,,,,,,,,,,,
2004,COMPASS MEDIA GROUP,JOHN BARROW,Georgia,12,,4,0,0,0,,,,,,,
2004,MURPHY PUTNAM MEDIA,JOHN BARROW,Georgia,12,,,,,,,,,,,,
2004,THE MELLMAN GROUP,JOHN BARROW,Georgia,12,,,,,,,,,,,,
2004,BENNETT PETTS & BLUMENTHAL,JOHN MURTHA,Pennsylvania,12,,4,0,0,0,,,,,,,
2004,DAN JONES AND ASSOCIATES,JOHN SWALLOW,Utah,2,,,,,,,,,,,,
2004,SANDLER-INNOCENZI,JOHN SWALLOW,Utah,2,,4,0,0,0,,,,,,,
2004,KILEY & CO.,JOHN TIERNEY,Massachusetts,6,,4,0,0,0,,,,,,,
2004,GARIN HART YANG RESEARCH GROUP,JON JENNINGS,Indiana,8,,,,,,,,,,,,
2004,MURPHY PUTNAM MEDIA,JON JENNINGS,Indiana,8,,,,,,,,,,,,
2004,JAMES R. FOSTER & ASSOCIATES,KATHERINE HARRIS,Florida,13,,,,,,,,,,,,
2004,THE VICTORY GROUP,KATHERINE HARRIS,Florida,13,,,,,,,,,,,,
2004,EPPSTEIN GROUP,KENNY MARCHANT,Texas,24,,,,,,,,,,,,
2004,SCOTT HOWELL & CO.,KENNY MARCHANT,Texas,24,,4,0,0,0,,,,,,,
2004,XVOTES,KOSTAS ALEXAKIS,Maryland,1,,4,0,0,0,,,,,,,
2004,MOORE INFORMATION,LARRY DIEDRICH,South Dakota,1,,,,,,,,,,,,
2004,SCOTT COTTINGTON,LARRY DIEDRICH,South Dakota,1,,,,,,,,,,,,
2004,STEVENS REED CURCIO & POTHOLM,LARRY DIEDRICH,South Dakota,1,,,,,,,,,,,,
2004,GLOBAL STRATEGY GROUP,LORETTA SANCHEZ,California,47,,,,,,,,,,,,
2004,THE CAMPAIGN GROUP,LORETTA SANCHEZ,California,47,,,,,,,,,,,,
2004,GLOBAL STRATEGY GROUP,MAJOR OWENS,New York,11,,4,0,0,1,"""Record storage, refreshments""",,,,,,
2004,MAIN STREET COMMUNICATIONS,MARCY KAPTUR,Ohio,9,,,,,,,,,,,,
2004,MOORE INFORMATION,MARILYN MUSGRAVE,Colorado,4,,,,,,,,,,,,
2004,STRATEGY GROUP FOR MEDIA,MARILYN MUSGRAVE,Colorado,4,,,,,,,,,,,,
2004,PUBLIC OPINION STRATEGIES,MARVIN PARKS,Arkansas,2,,,,,,,,,,,,
2004,ABACUS ASSOCIATES,MAURICE HINCHEY,New York,22,,,,,,,,,,,,
2004,STRATEGIC PERCEPTION INC.,MAX BURNS,Georgia,12,,,,,,,,,,,,
2004,BENNETT PETTS & BLUMENTHAL,MAX SANDLIN,Texas,1,,,,,,,,,,,,
2004,RINDY MILLER MEDIA,MAX SANDLIN,Texas,1,,,,,,,,,,,,
2004,MICHAEL P. SHEA & ASSOCIATES,MICHAEL CAPUANO,Massachusetts,8,,,,,,,,,,,,
2004,ALL POINTS COMMUNICATIONS,MICHAEL MICHAUD,Maine,2,,,,,,,,,,,,
2004,BENNETT PETTS & BLUMENTHAL,MICHAEL MICHAUD,Maine,2,,,,,,,,,,,,
2004,SUTTER'S MILL,MICHAEL MICHAUD,Maine,2,,,,,,,,,,,,
2004,EISNER JOHNSON,MIKE ROGERS,Michigan,8,,4,0,0,0,,,,,,,
2004,"DAWSON, MCCARTHY, & NELSON",MIKE SODREL,Indiana,9,,,,,,,,,,,,
2004,WES ANDERSON CONSULTING,MIKE SODREL,Indiana,9,,,,,,,,,,,,
2004,KILEY & CO.,PATRICK KENNEDY,Rhode Island,1,1,3,0,0,1,98 in pacname,,,,,,
2004,LAKE SNELL PERRY,PAUL BABBITT,Arizona,1,,,,,,,,,,,,
