,y2004,y2006,democrat,democrat04,democrat06,chall,open,female,disrepvote,senate,isssal2,demdisrepvote,oppgoneg,fraised2,goneg,negperson,negiss,risk,issueowner,bioreason,biooccup,biofamil2,poll,bioorg,biotown,positions,endorse,partybann,cfscore,region,incumbent,newdist,newdistAlt
25,0,0,0,0,0,0,0,0,48,0,0.09623763,0,0,0.022890599,1,NA,NA,-1,0.242857143,0,0,0,NA,0,1,2,6,0,0.794259191,0,1,48,1
26,1,0,0,0,0,0,0,0,47,0,0.100594059,0,1,0.018688399,0,0,0,-1,-10.21249962,0,1,0,0,0,1,3,3,0,0.794259191,0,1,47,1
27,0,1,0,0,0,0,0,0,47,0,0.17326732,0,1,0.0310138,0,0,0,-3,-16.44285774,0,0,0,0,0,1,1,3,0,0.794259191,0,1,47,1
28,1,0,0,0,0,1,0,1,37,0,0.417623758,0,1,0.0050843,1,0,1,4,3.5,0,1,1,0,1,1,2,0,1,1.306452036,3,0,37,0
29,1,0,0,0,0,1,0,0,46,0,0.249504954,0,0,0.001249,1,0,1,5,3.920000076,1,1,0,0,1,1,2,51,0,1.105873942,4,0,46,1
30,0,1,1,0,1,0,0,1,56,0,0.125544563,56,1,0.107884102,1,1,1,3,3.454545498,0,1,1,0,1,1,2,9,0,-1.159343839,2,1,44,1
31,1,0,0,0,0,0,0,0,49,0,0.130099013,0,1,0.074909501,1,1,1,1,-10.54285717,0,1,1,0,0,1,3,0,0,1.081312776,6,1,49,1
32,0,1,0,0,0,1,0,0,16,0,0.100198016,0,0,0,0,0,0,3,-7.388888836,1,1,0,0,1,1,2,4,0,NA,2,0,16,0
33,0,0,1,0,0,0,1,0,48,0,0.266732693,48,0,0.029521599,0,NA,NA,1,1.906666636,0,1,1,NA,1,0,0,1,0,-0.552159488,4,0,52,2
34,0,1,1,0,1,1,0,1,61,0,0.56930691,61,0,0.0049473,1,1,1,2,1.055555582,0,1,0,0,1,1,3,100,0,-1.467184067,7,0,39,0
35,0,0,0,0,0,0,1,1,41,0,0.660000026,0,0,0.027122499,1,NA,NA,3,20.36249924,1,1,0,NA,0,1,2,0,0,0.315345466,5,0,41,0
36,0,0,1,0,0,1,0,0,70,0,0.128712878,70,0,NA,0,NA,NA,5,4.650000095,0,1,1,NA,1,0,2,6,0,-0.411821485,4,0,30,0
37,0,1,0,0,0,1,0,0,43,0,0.613861382,0,0,0.0002092,0,0,0,2,-2.25,0,0,1,0,0,0,2,0,0,0.897154927,5,0,43,1
38,1,0,0,0,0,1,0,0,34,0,0.7227723,0,0,NA,0,0,0,4,3.099999905,0,1,0,1,0,0,2,4,0,NA,2,0,34,0
39,0,0,0,0,0,0,0,1,55,0,0.169504955,0,0,0.0132232,0,NA,NA,1,7.066666603,0,1,0,NA,1,1,0,6,1,0.723813176,2,1,55,2
40,0,0,0,0,0,0,1,0,68,0,0.217029706,0,0,0.0169379,0,NA,NA,2,5.6875,0,1,1,NA,0,1,3,0,0,0.879669726,6,0,68,3
41,1,0,1,1,0,0,0,0,51,0,0.026534654,51,0,0.016947901,0,0,0,2,-4.5,1,1,1,0,1,0,2,7,0,-0.225072846,4,1,49,1
42,0,1,0,0,0,1,0,0,44,0,0.561980188,0,0,0.0028177,0,0,0,3,2.799999952,0,1,0,0,0,0,2,0,0,NA,1,0,44,1
43,0,1,0,0,0,0,0,0,67,0,0.169900984,0,1,0.079677597,0,0,0,2,-8.569999695,0,1,1,0,0,0,3,20,0,0.935282707,5,1,67,3
44,0,0,0,0,0,0,0,0,61,0,0.739207983,0,0,0.030045399,0,NA,NA,2,18.20000076,1,0,0,NA,0,0,2,11,0,0.935618162,2,1,61,3
45,0,1,0,0,0,0,0,0,65,0,0.231485143,0,0,0.0908821,0,0,0,0,-8.588889122,0,1,0,0,0,1,2,0,0,0.994168222,4,1,65,3
46,0,1,0,0,0,0,0,0,62,0,0.151881188,0,0,0.0144568,0,0,0,1,-9.033333778,0,1,0,0,0,1,3,15,0,0.908145249,4,1,62,3
47,0,0,0,0,0,1,0,0,48,0,0.162772283,0,0,0.0040184,1,NA,NA,2,-10.5666666,0,1,0,NA,0,1,3,0,0,1.041548491,7,0,48,1
48,1,0,1,1,0,0,1,0,52,0,0.362970293,52,0,0.050717998,0,0,0,2,11.76666641,1,1,0,0,1,1,3,8,0,0.231658667,5,0,48,1
49,1,0,1,1,0,0,0,0,53,0,0.147128716,53,1,0.048046499,0,0,0,2,7.809999943,0,0,0,0,0,0,2,1,0,-0.146795228,4,1,47,1
50,0,1,1,0,1,1,0,1,59,0,0.315445542,59,1,0.018939599,1,1,1,6,12.44999981,1,1,1,1,1,0,4,5,0,-1.020200253,3,0,41,0
51,0,0,0,0,0,0,1,0,49,0,0.413069308,0,1,0.026688401,0,NA,NA,1,-1.842857122,0,1,0,NA,0,1,2,99,0,0.765388191,0,0,49,1
52,0,1,1,0,1,0,0,0,15,0,NA,15,1,0.0174897,0,0,0,NA,NA,0,0,0,0,0,0,0,0,0,-0.506497264,1,1,85,3
53,0,1,1,0,1,0,1,0,46,0,0.208712876,46,1,0.062319599,1,1,0,5,16.88571358,1,1,0,1,1,1,3,2,1,-1.064907312,3,0,54,2
54,1,0,0,0,0,1,0,0,42,0,0.330693096,0,0,0.0001642,1,0,1,3,-4.670000076,0,1,1,0,0,0,2,2,0,NA,1,0,42,0
55,1,0,0,0,0,1,0,1,41,0,0.16435644,0,0,0.0022196,1,0,0,2,-2.733333349,0,0,1,0,1,1,2,30,0,0.810123861,5,0,41,0
56,1,0,0,0,0,0,0,0,59,0,NA,0,0,0,0,0,0,NA,NA,0,1,0,0,1,0,0,20,1,0.799960792,4,1,59,2
57,1,0,1,1,0,0,1,0,64,0,0.422376245,64,0,0.0004006,0,0,0,3,5.599999905,0,1,0,0,1,1,2,1,0,-0.757083654,4,0,36,0
58,1,0,0,0,0,1,0,0,55,0,0.399009883,0,0,0.0035071,0,0,0,1,-4.254545689,0,1,0,0,0,0,2,5,0,0.466887265,5,0,55,2
59,0,1,1,0,1,1,0,0,59,0,0.267326742,59,0,0.0064979,1,1,1,4,9.233333588,1,1,0,1,1,0,3,0,0,-1.297191501,5,0,41,0
60,1,0,0,0,0,0,0,0,45,0,0.354455441,0,0,0.070683897,1,0,1,2,-3.762500048,0,1,0,0,1,1,2,6,0,1.17339015,4,1,45,1
61,0,1,1,0,1,1,0,0,77,0,0.029702971,77,0,0.0013926,1,1,1,5,15.80000019,0,1,1,0,1,1,2,1,0,-1.137996674,6,0,23,0
62,1,0,0,0,0,0,0,0,69,0,0.290495038,0,1,0.0192219,0,0,0,0,-6.849999905,0,0,0,0,0,0,1,0,0,0.667777002,2,1,69,3
63,1,0,1,1,0,0,1,0,42,0,0.072673269,42,1,0.010841,0,0,0,0,5.5,0,1,0,0,1,1,0,3,0,-0.771443307,4,0,58,2
64,1,0,1,1,0,1,0,1,52,0,0.29782179,52,0,0.050319102,1,1,1,6,10.83749962,1,1,0,0,0,0,3,14,0,-0.539060414,2,0,48,1
65,1,0,1,1,0,1,0,0,56,0,0.096831679,56,1,0.0023542,1,0,1,4,10.69999981,0,1,0,0,1,1,3,30,0,-0.944976628,6,0,44,1
66,1,0,0,0,0,0,0,0,54,0,0.250891089,0,1,0.0215437,0,0,0,0,-13.30000019,1,1,0,0,0,1,2,1,0,0.736949623,2,1,54,2
67,0,0,0,0,0,0,0,0,75,0,0.354851484,0,1,0.0086047,0,NA,NA,1,1.274999976,0,0,1,NA,0,1,3,2,0,0.806349516,6,1,75,3
68,0,1,0,0,0,0,0,0,77,0,0.391089112,0,1,0.029289501,0,0,0,0,-9.824999809,0,1,1,0,1,1,2,8,0,0.806349516,6,1,77,3
69,0,0,0,0,0,0,0,0,61,0,0.074851483,0,1,0.0363627,0,NA,NA,-1,0,1,0,0,NA,1,1,2,1,0,0.57850039,4,1,61,3
70,1,0,0,0,0,0,0,0,61,0,0.235445544,0,0,0.062405799,0,0,0,0,-7.111111164,0,1,1,0,0,1,1,0,0,0.57850039,4,1,61,3
71,0,1,0,0,0,0,0,0,61,0,0.332871288,0,1,0.083280496,0,0,0,-1,-8.788888931,0,0,1,0,1,1,1,0,0,0.57850039,4,1,61,3
72,1,0,0,0,0,0,0,1,54,0,0.29841584,0,1,0.040514201,0,0,0,2,-13.52000046,1,1,1,0,1,0,2,11,0,0.671406746,5,1,54,2
73,1,0,1,1,0,0,0,0,15,0,0.130891085,15,0,0.0211877,0,0,0,-1,4.966666698,0,1,0,0,0,1,1,6,0,-0.867359757,0,1,85,3
74,0,1,1,0,1,0,0,0,19,0,0.418415815,19,0,0.020836599,0,0,0,1,5.474999905,0,1,1,0,0,1,2,8,0,-0.867359757,0,1,81,3
75,1,0,1,1,0,0,0,0,44,0,0.534653485,44,1,0.0212189,0,0,0,0,0.633333325,0,0,0,0,1,0,2,3,0,-0.321571618,7,1,56,2
76,0,1,1,0,1,0,0,0,50,0,0.202970296,50,1,0.0270628,1,0,1,3,10.22222233,0,0,0,1,1,0,3,80,0,-0.321571618,7,1,50,1
77,1,0,1,1,0,0,1,0,43,0,0.356435657,43,1,0.0353406,1,1,1,4,14.01428604,0,0,1,0,1,1,2,50,0,-0.996545792,5,0,57,2
78,0,1,1,0,1,0,0,0,43,0,0.177227721,43,0,0.0312241,0,0,0,4,8.079999924,1,1,1,0,1,0,2,2,0,-0.996545792,5,1,57,2
79,0,1,1,0,1,1,0,0,60,0,0.543564379,60,0,0.0392823,1,1,1,5,0.672727287,0,1,0,1,0,0,3,85,0,-0.921496809,1,0,40,0
80,1,0,1,1,0,1,0,1,69,0,0.244158417,69,0,0.0002383,1,1,0,6,9.5,1,1,1,0,1,1,2,0,1,NA,2,0,31,0
81,0,0,1,0,0,0,0,0,52,0,0.21564357,52,1,0.026049901,0,NA,NA,1,-1.633333325,0,1,0,NA,1,0,2,0,0,-0.615690231,5,1,48,1
82,0,0,0,0,0,0,0,0,42,0,0.465346545,0,0,0.0201135,0,NA,NA,0,6.699999809,0,0,0,NA,1,0,2,2,0,0.55787307,1,1,42,0
83,1,0,0,0,0,0,0,0,42,0,0.321782172,0,0,0.0250485,0,0,0,-3,-4.574999809,0,0,0,0,0,1,0,4,0,0.55787307,1,1,42,0
84,0,1,0,0,0,0,0,0,46,0,0.145148516,0,1,0.031732898,0,0,0,-2,-15.26666641,0,0,0,0,0,1,0,0,0,0.55787307,1,1,46,1
85,1,0,0,0,0,0,0,0,51,0,0.18673268,0,1,0.0154013,0,0,0,1,-7.054545403,0,1,1,0,1,1,3,13,0,1.126707435,2,1,51,1
86,1,0,1,1,0,0,0,0,55,0,0.148514852,55,0,0.0454829,0,0,0,1,6.699999809,1,0,0,0,0,0,2,7,0,-0.382344037,5,1,45,1
87,1,0,0,0,0,1,0,1,38,0,0.410891086,0,0,0.0086707,0,0,0,4,-1.475000024,1,1,1,0,1,1,3,0,0,1.002543211,4,0,38,0
88,0,0,0,0,0,1,0,0,33,0,0.551881194,0,0,0.0028964,0,NA,NA,2,12.43999958,0,1,0,NA,1,0,2,4,0,1.088721514,6,0,33,0
89,1,0,0,0,0,0,0,0,53,0,0.216831684,0,1,0.0411405,0,0,0,1,-5.228571415,1,1,0,0,1,0,2,0,0,1.194213748,2,1,53,2
90,0,1,0,0,0,1,0,0,66,0,0.022376237,0,1,0.0218159,0,0,0,4,-9,1,1,1,0,0,0,2,30,1,1.433456779,6,0,66,3
91,0,0,1,0,0,0,1,1,49,0,0.183366343,49,0,0.089297399,1,NA,NA,2,7,0,0,0,NA,0,0,1,4,0,-1.35574913,0,0,51,1
92,0,1,1,0,1,1,0,0,53,0,0.261386126,53,0,0.003572,1,1,1,7,19.39999962,1,1,0,0,0,0,2,6,1,-1.620663881,2,0,47,1
93,0,0,0,0,0,0,1,0,52,0,0.553069293,0,0,0.050964002,1,NA,NA,3,11.95555592,1,1,1,NA,1,1,3,10,0,1.1763978,4,0,52,2
94,1,0,0,0,0,1,0,0,52,0,0.360198021,0,0,0.026574399,0,0,0,3,5.944444656,0,1,1,0,1,1,3,0,0,1.1763978,4,0,52,2
95,0,0,0,0,0,1,0,0,9,0,0.182376236,0,0,0.0003227,0,NA,NA,1,-2.890909195,0,1,0,NA,1,0,2,1,0,NA,1,0,9,0
96,1,0,0,0,0,1,0,0,43,0,0.276435643,0,0,NA,1,1,1,5,-1.899999976,1,1,1,0,0,1,1,0,1,NA,7,0,43,1
97,0,0,0,0,0,0,1,0,61,0,0.478613853,0,1,0.032390699,1,NA,NA,1,-0.524999976,0,1,0,NA,1,1,3,0,0,0.76762569,5,0,61,3
98,1,0,0,0,0,0,0,0,61,0,0.099009901,0,0,0.0281651,0,0,0,-2,-1.399999976,0,1,0,0,1,1,1,9,0,0.76762569,5,1,61,3
99,0,1,0,0,0,0,0,0,67,0,0.31960395,0,1,0.0252729,0,0,0,0,-12.14444447,0,1,1,0,0,1,2,0,0,0.76762569,5,1,67,3
100,0,0,1,0,0,1,0,0,48,0,0.197029695,48,1,0.041556802,1,NA,NA,4,6.116666794,1,1,1,NA,0,1,1,7,0,-0.632086575,5,0,52,2
101,0,1,1,0,1,0,0,0,48,0,0.311485142,48,1,0.019484101,0,0,0,3,13.31999969,1,1,1,0,0,1,2,0,1,-0.073946901,5,1,52,2
102,1,0,0,0,0,1,0,1,41,0,0.439009905,0,0,NA,1,1,1,4,-0.5,0,1,1,0,0,0,3,45,0,1.297171593,7,0,41,0
103,0,1,1,0,1,1,0,0,44,0,0.511485159,44,0,0.0605039,1,0,1,3,18.20000076,0,1,0,1,0,1,2,99,1,-1.165545225,1,0,56,2
104,1,0,0,0,0,1,0,0,53,0,0.091089107,0,1,0.0035016,1,0,1,4,-0.800000012,1,1,1,0,1,1,2,25,0,0.630129874,4,0,53,2
105,1,0,0,0,0,0,0,0,66,0,0.567722797,0,0,0.0146699,0,0,0,1,7.849999905,0,1,0,0,1,1,2,5,0,0.766464829,4,1,66,3
106,0,1,0,0,0,0,0,0,69,0,0.254455447,0,1,0.0181865,0,0,0,-1,-8.453845978,0,0,1,0,0,1,3,6,0,0.766464829,4,1,69,3
107,1,0,0,0,0,0,0,1,69,0,0.196633667,0,0,0.024210099,0,0,0,-2,-11.43999958,0,0,0,0,0,1,1,6,1,1.190198421,6,1,69,3
108,0,1,0,0,0,0,0,1,69,0,0.161782175,0,1,0.0321422,1,0,1,1,-15.25,0,1,1,0,0,1,0,1,0,1.190198421,6,1,69,3
109,1,0,1,1,0,0,1,0,41,0,0.163960397,41,1,0.028159199,0,0,0,1,2.816666603,0,1,1,0,1,1,3,4,0,0.290665686,4,0,59,2
110,1,0,0,0,0,0,0,0,68,0,0.112277232,0,0,0.015873199,0,0,0,0,-1.233333349,0,0,1,0,1,1,2,25,0,1.106223106,4,1,68,3
111,0,1,0,0,0,0,0,0,64,0,0.419207931,0,1,0.016915999,0,0,0,2,-7.699999809,0,1,1,0,1,1,2,9,0,1.106223106,4,1,64,3
112,1,0,1,1,0,0,0,0,25,0,0.190693066,25,1,0.0204529,0,0,0,1,11.55000019,1,1,0,0,1,1,2,1,0,-0.758031368,5,1,75,3
113,0,1,0,0,0,1,0,1,43,0,0.187326729,0,0,0.0046895,0,0,0,0,-15.625,1,1,0,0,1,1,0,9,0,0.733521163,0,0,43,1
114,0,1,0,0,0,1,0,0,46,0,0.190693066,0,0,0.0007272,0,0,0,1,-5,1,1,0,0,0,1,0,2,0,1.792083383,0,0,46,1
115,1,0,0,0,0,0,0,1,58,0,0.369702965,0,0,0.0113784,0,0,0,-1,-10.26000023,0,1,0,0,0,1,2,0,0,0.600611091,4,1,58,2
116,0,1,0,0,0,0,0,1,60,0,0.117623761,0,1,0.0145302,0,0,0,-1,-14.47500038,1,1,0,0,0,1,1,4,0,0.600611091,4,1,60,3
117,1,0,0,0,0,0,0,0,52,0,0.084554456,0,0,0.054641198,0,0,0,-1,-3.920000076,0,1,0,0,1,0,0,1,0,0.4661538,4,1,52,2
118,0,1,0,0,0,0,0,0,50,0,0.069306932,0,1,0.0691109,0,0,0,-2,-8.736363411,0,1,0,0,1,1,0,2,0,0.4661538,4,1,50,1
119,0,0,0,0,0,1,0,0,61,0,0.497227728,0,0,0.0220934,1,NA,NA,5,7.766666889,1,1,0,NA,1,0,2,23,0,1.009125948,5,0,61,3
120,1,0,0,0,0,0,1,1,29,0,0.15405941,0,0,0.0012067,1,0,1,3,-6.066666603,0,1,0,0,1,0,2,1,0,1.276604414,4,0,29,0
121,0,1,0,0,0,0,1,1,28,0,0.162574261,0,0,0.0056504,1,1,1,5,-15.87142849,1,1,1,0,0,0,2,5,0,1.276604414,4,0,28,0
122,0,1,0,0,0,0,0,0,63,0,0.358019799,0,1,0.104824498,1,1,0,2,-5.711111069,0,1,0,0,0,0,0,5,0,1.009125948,5,1,63,3
123,0,0,1,0,0,0,1,0,33,0,0.225346535,33,0,0.0398518,0,NA,NA,4,3.357142925,1,1,1,NA,0,1,1,0,0,-0.170717031,4,0,67,3
124,1,0,1,1,0,0,0,0,16,0,0.232673272,16,1,0.0122145,0,0,0,1,1.888235331,0,1,0,0,1,0,2,5,0,-0.855179071,2,1,84,3
125,0,1,1,0,1,0,0,0,17,0,0.404554456,17,1,0.0136858,0,0,0,0,9.229999542,0,0,0,0,1,0,1,11,0,-0.855179071,2,1,83,3
126,1,0,0,0,0,1,0,0,16,0,0.233465344,0,0,0.0011382,1,0,1,3,-11.14999962,1,1,0,0,1,1,3,0,0,NA,2,0,16,0
127,1,0,1,1,0,0,0,0,49,0,0.3190099,49,1,0.016782699,1,1,0,3,12.19999981,0,1,0,0,0,0,1,6,1,-0.857808173,7,1,51,1
128,0,0,1,0,0,0,0,1,33,0,0.170495048,33,0,0.0217948,0,NA,NA,1,7.900000095,0,1,1,NA,0,1,2,5,0,-1.067662477,6,1,67,3
129,0,1,1,0,1,0,0,1,31,0,0.285544544,31,0,0.016055999,0,0,0,1,14.57499981,1,0,0,0,0,1,3,15,0,-1.067662477,6,1,69,3
130,0,0,1,0,0,0,0,1,34,0,0.099009901,34,1,0.016105101,0,NA,NA,3,1.174999952,1,1,1,NA,0,1,0,1,1,-0.993026853,1,1,66,3
131,1,0,1,1,0,0,0,1,34,0,0.682178259,34,1,0.0185555,0,0,0,1,-7.866666794,1,0,0,0,0,0,2,0,1,-0.993026853,1,1,66,3
132,0,1,1,0,1,0,0,1,42,0,0.20792079,42,0,0.0205385,0,0,0,2,16.63500023,1,0,1,0,0,1,3,1,1,-0.993026853,1,1,58,2
133,0,0,0,0,0,0,0,0,64,0,0.163366333,0,0,0.0105965,0,NA,NA,1,-3.125,0,1,0,NA,1,0,2,9,0,1.112505913,4,1,64,3
134,0,1,1,0,1,1,0,0,57,0,0.409900993,57,0,0.0003553,1,0,1,3,9.220000267,0,1,0,0,1,0,2,6,0,-0.996957421,2,0,43,1
135,0,1,0,0,0,0,0,0,50,0,0.182376236,0,1,0.032334801,0,0,0,-2,-12.54285717,0,0,0,0,0,1,2,0,0,0.787224054,1,1,50,1
136,0,1,1,0,1,0,1,1,57,0,0.46732673,57,0,0.040656898,1,1,0,1,5.519999981,0,0,0,1,0,1,2,0,0,-1.09834969,6,0,43,1
137,1,0,1,1,0,1,0,0,49,0,0.297029704,49,0,0.0023019,1,1,1,5,7.733333111,1,1,1,0,1,0,3,6,0,-1.263894677,4,0,51,1
138,0,1,1,0,1,1,0,0,50,0,0.434257418,50,0,0.0022763,1,0,1,3,8.428571701,1,0,1,0,0,0,2,0,0,-0.659514844,1,0,50,1
139,1,0,1,1,0,0,0,0,43,0,0.437227726,43,1,0.024152299,0,0,0,0,7.150000095,0,0,0,0,0,0,1,0,0,-0.457599103,7,1,57,2
140,1,0,0,0,0,1,0,0,60,0,0.139603958,0,1,0.064503998,0,0,0,0,-6.842857361,0,1,0,1,1,1,3,9,0,1.294983983,3,0,60,3
141,0,1,1,0,1,1,0,0,67,0,0.177227721,67,0,0.0010218,1,NA,NA,5,10.42000008,1,1,0,0,1,0,1,15,0,-1.138325453,4,0,33,0
142,0,1,1,0,1,1,0,0,72,0,0.413663357,72,0,0.0016128,1,1,1,5,12.41428566,1,1,0,1,0,1,2,0,0,-0.79943347,3,0,28,0
143,1,0,1,1,0,1,0,0,53,0,0.422376245,53,0,0.0178257,1,0,1,5,5.599999905,1,0,0,0,0,0,2,0,1,-0.886054039,2,0,47,1
144,1,0,0,0,0,0,1,0,42,0,0.312079221,0,0,0.0009878,1,1,1,1,-0.54285717,0,1,0,0,0,1,1,0,0,1.14283514,4,0,42,0
145,0,1,0,0,0,1,0,0,43,0,0.144950494,0,0,0.0045925,1,0,1,5,-7.42142868,1,1,1,0,1,0,3,1,0,0.999014497,6,0,43,1
146,0,1,1,0,1,0,1,1,53,0,0.240594059,53,1,0.114112899,1,1,1,6,9.649999619,1,1,0,1,0,0,2,12,0,-1.370571852,2,0,47,1
147,0,1,1,0,1,0,0,0,70,0,0.248910889,70,1,0.080259599,1,0,0,5,7.142857075,0,1,1,0,1,0,4,21,0,-0.279199123,4,1,30,0
148,0,1,0,0,0,0,0,0,59,0,0.084752478,0,1,0.011374,0,0,0,-1,-8.611110687,0,1,1,0,0,1,0,6,0,1.222854972,2,1,59,2
149,1,0,0,0,0,1,0,0,28,0,0.285742581,0,0,0.0066525,1,0,1,5,1.600000024,1,1,0,0,1,0,2,1,1,1.311643004,7,0,28,0
150,0,0,0,0,0,1,0,0,53,0,0.107326731,0,0,0.0001634,0,NA,NA,3,2.818181753,0,1,0,NA,0,0,2,0,0,1.242209196,4,0,53,2
151,1,0,1,1,0,1,0,0,66,0,0.560990095,66,0,0.0028722,1,1,1,7,6.920000076,1,1,1,0,1,1,3,15,0,-0.556369245,4,0,34,0
152,1,0,1,1,0,1,0,0,58,0,0.290495038,58,0,0.0003277,0,0,0,2,5.433333397,0,1,0,0,0,1,2,0,0,-1.005857944,4,0,42,0
153,0,1,1,0,1,1,0,0,60,0,0.212871283,60,0,0,1,1,0,3,14.71111107,0,1,1,0,0,1,2,0,0,NA,4,0,40,0
154,0,1,1,0,1,1,0,0,62,0,0.245940596,62,0,0.043623701,1,0,0,3,2.883333445,1,1,0,0,0,1,0,3,0,-0.719045341,2,0,38,0
155,0,0,0,0,0,1,0,0,34,0,0.152871281,0,0,0.0020643,1,NA,NA,2,-1.246153831,1,1,0,NA,1,1,2,0,0,0.241056621,1,0,34,0
156,1,0,0,0,0,1,0,0,34,0,0.211287126,0,0,0.000525,1,0,1,3,-2.799999952,0,0,0,0,0,0,2,0,0,0.241056621,1,0,34,0
157,0,0,1,0,0,0,1,0,34,0,0.254455447,34,0,0.079510801,0,NA,NA,2,0.427272737,0,1,1,NA,0,1,2,70,0,-0.81430316,2,0,66,3
158,1,0,0,0,0,1,0,0,30,0,0.745940566,0,0,0.0001278,1,1,1,3,-2.900000095,0,1,1,0,0,0,1,0,0,NA,7,0,30,0
159,1,0,0,0,0,1,0,0,36,0,0.279405922,0,0,0.019707801,1,1,1,1,-8.555555344,0,1,1,0,0,1,0,6,0,1.114022613,7,0,36,0
160,0,1,1,0,1,0,0,1,30,0,0.279009908,30,0,0.0261347,0,0,0,0,14.76363659,0,0,0,0,1,1,1,23,0,-0.898196876,7,1,70,3
161,0,0,1,0,0,0,0,0,53,0,0.243366331,53,0,0.023032,0,NA,NA,0,7.3125,0,1,0,NA,1,1,1,0,0,-0.496890247,4,1,47,1
162,1,0,1,1,0,0,0,0,53,0,0.24514851,53,1,0.0236171,1,0,0,1,2.3125,0,1,0,0,1,1,2,4,0,-0.496890247,4,1,47,1
